Title	Start Date	End Date	Author(s)	Genre(s)	Display Genre	Type	Format	Pages	Hours	Year Purchased	Rating	Re-Read?	Book Club?	Technical?	Goodreads	Cover	Tags
Chip War	7/8	12/8	Chris Miller	Technology, Business	Technology	Non-Fiction	Kindle	463	-	2023	5/5	No	No	No	https://www.goodreads.com/book/show/62807111-chip-war	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1664289367i/62807111.jpg	
Grokking Algorithms	7/8	16/8	Aditya Y. Bhargava	Technical, Computer Science	Technical	Non-Fiction	Kindle	256	-	2023	4/5	No	No	Yes	https://www.goodreads.com/en/book/show/22847284	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1458747997i/22847284.jpg	
A Tale of Two Cities	14/8	22/8	Charles Dickens	Classics, Novel	Classics	Fiction	Kindle	448	-	2023	3/5	No	No	No	https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953.jpg	
The Charisma Myth	22/8	4/9	Olivia Fox Cabane	Self-Improvement	Self-Improvement	Non-Fiction	Kindle	259	-	2023	4/5	No	No	No	https://www.goodreads.com/book/show/19011557-the-charisma-myth	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1408925781i/19011557.jpg	
The Importance of Being Earnest	22/8	4/9	Oscar Wilde	Classics, Plays	Classics	Fiction	Kindle	79	-	2023	4/5	No	No	No	https://www.goodreads.com/book/show/122638.The_Importance_of_Being_Earnest	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1313522504i/122638.jpg	
Red Rising	24/8	1/9	Pierce Brown	Fantasy, Science Fiction	Fantasy	Fiction	Audible	-	16	Audible Included	4/5	Yes	No	No	https://www.goodreads.com/en/book/show/15839976	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1461354651i/15839976.jpg	
Golden Son	3/9	12/9	Pierce Brown	Fantasy, Science Fiction	Fantasy	Fiction	Audible	-	19	Audible Included	3.5/5	Yes	No	No	https://www.goodreads.com/book/show/18966819-golden-son	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1394684475i/18966819.jpg	
The Art and Business of Online Writing	6/9	12/9	Nicolas Cole	Writing, Business	Miscellaneous	Non-Fiction	Kindle	330	-	2023	4/5	No	No	No	https://www.goodreads.com/en/book/show/55189231	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1598897589i/55189231.jpg	
Morning Star	13/9	30/9	Pierce Brown	Fantasy, Science Fiction	Fantasy	Fiction	Audible	-	21	2023	4/5	Yes	No	No	https://www.goodreads.com/book/show/18966806-morning-star	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1461354277i/18966806.jpg	
Much Ado About Nothing	14/9	18/9	William Shakespeare	Classics, Plays	Classics	Fiction	Kindle	107	-	2023	3/5	No	No	No	https://www.goodreads.com/book/show/53793376-much-ado-about-nothing	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1591176712i/53793376.jpg	
The Fifth Science	19/9	25/9	Exurb1a	Science Fiction, Short Stories	Science Fiction	Fiction	Kindle	247	-	2023	4/5	No	No	No	https://www.goodreads.com/book/show/41580260-the-fifth-science	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1535736994i/41580260.jpg	
The Tiger	27/9	4/10	John Vaillant	Adventure, Nature	Miscellaneous	Non-Fiction	Kindle	329	-	2023	3.5/5	No	No	No	https://www.goodreads.com/book/show/7624594-the-tiger	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320490797i/7624594.jpg	
Number Go Up	1/10	5/10	Zeke Faux	Business, Finance	Business	Non-Fiction	Audible	-	9	2023	4/5	No	No	No	https://www.goodreads.com/en/book/show/123276708	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1687140968i/123276708.jpg	
The Elements of Computing Systems	3/10	20/10	Noam Nisan, Shimon Schoken	Technical, Computer Science	Technical	Non-Fiction	Physical	275	-	2023	4.5/5	No	No	Yes	https://www.goodreads.com/book/show/51706318-the-elements-of-computing-systems	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1617071422i/51706318.jpg	
Iron Gold	5/10	17/10	Pierce Brown	Fantasy, Science Fiction	Fantasy	Fiction	Kindle	624	-	2023	4/5	Yes	No	No	https://www.goodreads.com/book/show/33257757-iron-gold	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1482475064i/33257757.jpg	
Going Infinite	5/10	7/10	Michael Lewis	Business, Finance	Business	Non-Fiction	Audible	-	9	2023	3/5	No	No	No	https://www.goodreads.com/en/book/show/149105520	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1684247487i/149105520.jpg	
Elon Musk	9/10	23/10	Walter Isaacson	Business, Biography	Biography	Non-Fiction	Audible	-	20.5	Spotify Included	4/5	No	No	No	https://www.goodreads.com/en/book/show/122765395	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1692288251i/122765395.jpg	
The Minimalist Entrepreneur	18/10	23/10	Sahil Lavingia	Business, Self-Improvement	Business	Non-Fiction	Kindle	262	-	2023	3.5/5	No	No	No	https://www.goodreads.com/en/book/show/56913172	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1625597702i/56913172.jpg	
Dark Age	24/10	30/10	Pierce Brown	Fantasy, Science Fiction	Fantasy	Fiction	Kindle	939	-	2019	4.5/5	Yes	No	No	https://www.goodreads.com/en/book/show/29226553	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1525464420i/29226553.jpg	
Ship of Fools	24/10	30/10	Fintan O'Toole	Politics, Economics	Politics	Non-Fiction	Audible	-	7.5	2023	3/5	No	No	No	https://www.goodreads.com/en/book/show/7127751	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328757731i/7711297.jpg	
An Introduction to Statistical Learning	26/10	2/12	Gareth James, Daniela Witten, Trevor Hastie, Robert Tibshirani, Jonathan Taylor	Technical, Science	Technical	Non-Fiction	Kindle	613	-	Free	4/5	No	No	Yes	https://www.goodreads.com/book/show/178815107-an-introduction-to-statistical-learning	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1687777554i/178815107.jpg	
Light Bringer	31/10	20/11	Pierce Brown	Fantasy, Science Fiction	Fantasy	Fiction	Kindle	682	-	2023	4.5/5	No	No	No	https://www.goodreads.com/en/book/show/29227774	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1667655583i/29227774.jpg	
The Hitchhiker's Guide to the Galaxy	11/11	22/11	Douglas Adams	Science Fiction	Science Fiction	Fiction	Audible	-	5	Spotify Included	4.5/5	No	No	No	https://www.goodreads.com/book/show/40549107-the-hitchhiker-s-guide-to-the-galaxy	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1291379648i/9813826.jpg	
Pax: War and Peace in Rome's Golden Age	20/11	30/11	Tom Holland	History	History	Non-Fiction	Audible	-	15	2023	4/5	No	No	No	https://www.goodreads.com/en/book/show/62712920	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1674764385i/62712920.jpg	
Ready Player One	26/11	28/11	Ernest Cline	Science Fiction, Fantasy	Science Fiction	Fiction	Kindle	374	-	2023	4/5	No	No	No	https://www.goodreads.com/book/show/20603758-ready-player-one	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1390275705i/20603758.jpg	Metaverse, Gaming, Geeks, Dystopian, Adventure, Fantasy, Adapted
The Hobbit	30/11	6/12	J. R. R. Tolkien	Fantasy, Classics	Fantasy	Fiction	Audible	-	10.5	Spotify Included	4.5/5	No	No	No	https://www.goodreads.com/book/show/5907.The_Hobbit	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546071216i/5907.jpg	Fantasy, High Fantasy, Adventure, Magic, Dragons, Adapted
1984	2/12	28/12	George Orwell	Science Fiction, Dystopian	Science Fiction	Fiction	Kindle	368	-	2017	4.5/5	Yes	No	No	https://www.goodreads.com/book/show/3744438-1984	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327144697i/3744438.jpg	
