Title	Start Date	End Date	Author(s)	Genre(s)	Display Genre	Type	Format	Pages	Hours	Year Purchased	Rating	Re-Read?	Book Club?	Technical?	Goodreads	Cover
Annihilation	27/4	29/4	Jeff Vandermeer	Science Fiction	Science Fiction	Fiction	Physical	195	-	2020	3.5/5	No	No	No	https://www.goodreads.com/book/show/36965054-annihilation	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512571873l/36965054.jpg
The Spy and the Traitor	27/4	6/5	Ben Macintyre	True Crime, Biography	True Crime	Non-Fiction	Audible	-	14.5	2020	5/5	No	No	No	https://www.goodreads.com/book/show/39321912-the-spy-and-the-traitor	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521467973l/39321912._SY475_.jpg
The Republic	30/4	20/5	Plato	Philosophy, Classics	Philosophy	Non-Fiction	Physical	390	-	2019	2.5/5	No	No	No	https://www.goodreads.com/book/show/30289.The_Republic	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925655l/30289.jpg
Promise of Blood	8/5	29/5	Brian McClellan	Fantasy	Fantasy	Fiction	Kindle	538	-	2020	3.5/5	No	No	No	https://www.goodreads.com/book/show/15790883-promise-of-blood	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350337505l/15790883.jpg
The Goal	13/5	26/5	Eliyahu M. Goldratt	Business	Business	Non-Fiction	Audible	-	11	2020	3.5/5	No	No	Yes	https://www.goodreads.com/book/show/113934.The_Goal	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1475538019l/113934._SY475_.jpg
The Mixer	30/5	6/6	Michael Cox	Misc	Miscellaneous	Non-Fiction	Physical	460	-	2020	4.5/5	No	No	No	https://www.goodreads.com/book/show/34746655-the-mixer	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491027966l/34746655._SX318_.jpg
Mythos	2/6	20/6	Stephen Fry	Misc	Fantasy	Fiction	Audible	-	15	2020	4/5	No	No	No	https://www.goodreads.com/book/show/35074096-mythos	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1502518360l/35074096._SY475_.jpg
The Big Short	7/6	9/6	Michael Lewis	Finance, Business	Business	Non-Fiction	Kindle	268	-	2019	4.5/5	No	No	No	https://www.goodreads.com/book/show/26889576-the-big-short	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1446581171l/26889576.jpg
Principles	10/6	25/6	Ray Dalio	Self-Help, Business	Business	Non-Fiction	Physical	544	-	2019	4.5/5	No	No	No	https://www.goodreads.com/book/show/34536488-principles	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503365703l/34536488._SX318_.jpg
The Crimson Campaign	14/6	19/6	Brian McClellan	Fantasy	Fantasy	Fiction	Physical	596	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/17608111-the-crimson-campaign	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1363102695l/17608111.jpg
Cosmos	21/6	7/7	Carl Sagan	Science	Science	Non-Fiction	Audible	-	14.5	2020	3/5	No	No	No	https://www.goodreads.com/book/show/55030.Cosmos	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388620656l/55030.jpg
The Autumn Republic	21/6	3/7	Brian McClellan	Fantasy	Fantasy	Fiction	Physical	576	-	2020	3.5/5	No	No	No	https://www.goodreads.com/book/show/20883847-the-autumn-republic	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393261950l/20883847.jpg
Portugal: Conquerers..	4/7	9/7	Roger Crowley	History	History	Non-Fiction	Kindle	309	-	2019	5/5	No	No	No	https://www.goodreads.com/book/show/31681718-conquerors	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472171645l/31681718.jpg
The 5 Love Languages	9/7	13/7	Gary Chapman	Self-Help, Psychology	Self-Improvement	Non-Fiction	Kindle	209	-	2020	4.5/5	No	No	No	https://www.goodreads.com/book/show/23878688-the-5-love-languages	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432487272l/23878688._SY475_.jpg
Shoe Dog	10/7	15/7	Phil Knight	Business	Business	Non-Fiction	Physical	383	-	2020	4.5/5	No	No	No	https://www.goodreads.com/book/show/27220736-shoe-dog	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457284880l/27220736.jpg
Helter Skelter	11/7	27/7	Vincent Bugliosi, Curt Gentry	True Crime, Biography	True Crime	Non-Fiction	Audible	-	26	2020	4/5	No	No	No	https://www.goodreads.com/book/show/105992.Helter_Skelter	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347694754l/105992.jpg
When Breath Becomes Air	16/7	17/7	Paul Kalanithi	Memoir	Biography	Non-Fiction	Physical	235	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/29779231-when-breath-becomes-air	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482891316l/29779231._SY475_.jpg
The Picture of Dorian Gray	18/7	21/7	Oscar Wilde	Novel	Classics	Fiction	Physical	211	-	2016	5/5	Yes	No	No	https://www.goodreads.com/book/show/489732.The_Picture_of_Dorian_Gray	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1454087681l/489732._SY475_.jpg
The Happiness Trap	21/7	8/8	Russ Harris	Self-Help, Psychology	Self-Improvement	Non-Fiction	Physical	272	-	2020	3.5/5	No	No	No	https://www.goodreads.com/book/show/18926952-the-happiness-trap	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385291943l/18926952.jpg
Animal Liberation	21/7	2/8	Peter Singer	Philosophy	Philosophy	Non-Fiction	Physical	248	-	2020	3.5/5	No	No	No	https://www.goodreads.com/book/show/4896787-animal-liberation	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409601905l/4896787.jpg
Abaddons Gate	4/8	15/8	James S. A. Corey	Science Fiction	Science Fiction	Fiction	Physical	539	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/16131032-abaddon-s-gate	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407572059l/16131032.jpg
Leonardo da Vinci	5/8	18/8	Walter Isaacson	Biography, History 	Biography	Non-Fiction	Audible	-	17	2020	4/5	No	No	No	https://www.goodreads.com/book/show/34684622-leonardo-da-vinci	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523543570l/34684622._SY475_.jpg
12 Rules for Life	16/8	25/8	Jordan B. Peterson	Psychology, Self-Help	Self-Improvement	Non-Fiction	Physical	403	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/30257963-12-rules-for-life	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1512705866l/30257963.jpg
Storm Front	26/8	31/8	Jim Butcher	Fantasy	Fantasy	Fiction	Physical	307	-	2020	3/5	No	No	No	https://www.goodreads.com/book/show/11348132-storm-front	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579181560l/11348132._SY475_.jpg
Hitler	28/8	2/10	Ian Kershaw	History, Biography	Biography	Non-Fiction	Audible	-	44	2019	3.5/5	No	No	No	https://www.goodreads.com/book/show/7390651-hitler	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328000667l/7390651.jpg
Boom Town	1/9	9/9	Sam Anderson	History, Sport	Miscellaneous	Non-Fiction	Physical	427	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/22318476-boom-town	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1513955802l/22318476._SY475_.jpg
A Burning	10/9	14/9	Meghan Majumdar	Novel	Novel	Fiction	Physical	289	-	2020	3/5	No	Yes	No	https://www.goodreads.com/book/show/46250106-a-burning	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1573553946l/46250106._SY475_.jpg
Zonal Marking	14/9	23/9	Michael Cox	Sport	Miscellaneous	Non-Fiction	Physical	419	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/43184201-zonal-marking	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1544387247l/43184201._SX318_.jpg
Lolita	23/9	30/9	Vladimir Nabokov	Novel	Classics	Fiction	Physical	352	-	2020	4.5/5	No	No	No	https://www.goodreads.com/book/show/6048235-lolita	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439610958l/6048235._SY475_.jpg
Fool Moon	30/9	10/10	Jim Butcher	Fantasy	Fantasy	Fiction	Physical	340	-	2020	3/5	No	No	No	https://www.goodreads.com/book/show/91477.Fool_Moon	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507307616l/91477.jpg
Where the Crawdads Sing	11/10	15/10	Delia Owens	Novel	Novel	Fiction	Kindle	326	-	Borrowed	4/5	No	Yes	No	https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582135294l/36809135._SY475_.jpg
The Origin of Species	16/10	4/11	Charles Darwin	Science, History	Science	Non-Fiction	Physical	370	-	2020	3/5	No	No	No	https://www.goodreads.com/book/show/22463.The_Origin_of_Species	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298417570l/22463.jpg
Good Economics for Hard Times	23/10	12/11	Abhijit Banerjee, Esther Duflo	Finance	Politics	Non-Fiction	Audible	-	14.5	2020	3/5	No	No	No	https://www.goodreads.com/book/show/48507288-good-economics-for-hard-times	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571500606l/48507288._SX318_.jpg
Endurance	5/11	10/11	Alfred Lansing	History, Biography	History	Non-Fiction	Physical	281	-	2020	5/5	No	No	No	https://www.goodreads.com/book/show/139069.Endurance	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1391329559i/139069.jpg
The Road	12/11	16/11	Cormac McCarthy	Novel	Novel	Fiction	Physical	307	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/6496926-the-road	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320554306l/6496926.jpg
Crime and Punishment	17/11	28/11	Fyodor Dostoevsky	Novel, Classics	Classics	Fiction	Physical	551	-	2020	5/5	No	No	No	https://www.goodreads.com/book/show/5692.Crime_and_Punishment	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1435658196l/5692._SY475_.jpg
Never Split the Difference	21/11	12/12	Chris Voss	Self-Help, Psychology	Self-Improvement	Non-Fiction	Audible	-	8	2020	3/5	No	No	No	https://www.goodreads.com/book/show/26156469-never-split-the-difference	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460910517l/26156469.jpg
The Brothers Karamazov	29/11	31/12	Fyodor Dostoevsky	Novel, Classics	Classics	Fiction	Physical	985	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/4935.The_Brothers_Karamazov	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1616243056l/4935._SY475_.jpg
Web Scalability for Startup Engineers	30/11	31/12	Artur Ejsmont	Technology, Computer Science	Technology	Non-Fiction	Physical	359	-	2020	4.5/5	No	No	Yes	https://www.goodreads.com/book/show/23615147-web-scalability-for-startup-engineers	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421011132l/23615147.jpg
Believe Me	12/12	14/12	J. P. Delaney	Thriller, Mystery 	Novel	Fiction	Kindle	336	-	2020	2.5/5	No	Yes	No	https://www.goodreads.com/book/show/58656972-believe-me	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627581472l/58656972._SY475_.jpg
