Title	Start Date	End Date	Author(s)	Genre(s)	Display Genre	Type	Format	Pages	Hours	Year Purchased	Rating	Re-Read?	Book Club?	Technical?	Goodreads	Cover
All Hell Let Loose	1/1	5/2	Max Hastings	History, Military	History	Non-Fiction	Audible	-	32	2019	3/5	No	No	No	https://www.goodreads.com/book/show/11918457-all-hell-let-loose	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328357716l/11918457.jpg
Permanent Record	2/1	5/1	Edward Snowden	Biography, Technology	Biography	Non-Fiction	Physical	331	-	2019	3.5/5	No	No	No	https://www.goodreads.com/book/show/46223297-permanent-record	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564666396l/46223297.jpg
Leviathan Wakes (The Expanse #1)	5/1	17/1	James S. A. Corey	Science Fiction	Science Fiction	Fiction	Physical	560	-	2019	4/5	No	No	No	https://www.goodreads.com/book/show/8855321-leviathan-wakes	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411013134l/8855321.jpg
The Strange Death of Europe	18/1	3/2	Douglas Murray	Politics	Politics	Non-Fiction	Kindle	321	-	2019	3/5	No	No	No	https://www.goodreads.com/book/show/33584231-the-strange-death-of-europe	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1497968929l/33584231.jpg
Caliban's War (The Expanse, #2)	4/2	17/2	James S. A. Corey	Science Fiction	Science Fiction	Fiction	Physical	595	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/12591698-caliban-s-war	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407572377l/12591698.jpg
Sandworm	6/2	19/2	Andy Greenberg	Technology, Computer Science	Technology	Non-Fiction	Audible	-	12	2020	3/5	No	No	No	https://www.goodreads.com/book/show/41436213-sandworm	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1567555830l/41436213._SY475_.jpg
The Lean Startup	18/2	29/2	Eric Ries	Business, Technology	Business	Non-Fiction	Physical	284	-	2019	4/5	No	No	No	https://www.goodreads.com/book/show/10127019-the-lean-startup	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629999184l/10127019._SY475_.jpg
Meditations	19/2	22/2	Marcus Aurelius	Philosophy, Classics	Philosophy	Non-Fiction	Physical	142	-	2017	4/5	No	No	No	https://www.goodreads.com/book/show/30659.Meditations	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421618636l/30659.jpg
The Establishment	27/2	25/3	Owen Jones	Politics, Economics	Politics	Non-Fiction	Audible	-	13	2020	3.5/5	No	No	No	https://www.goodreads.com/book/show/23120225-the-establishment	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409237095l/23120225.jpg
Why Nations Fail	1/3	28/3	Daron Acemoglu, James Robinson	History, Politics	Politics	Non-Fiction	Kindle	463	-	2019	3.5/5	No	No	No	https://www.goodreads.com/book/show/12158480-why-nations-fail	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348987396l/12158480.jpg
World War Z	29/3	8/4	Max Brooks	Science Fiction	Science Fiction	Fiction	Kindle	344	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/8908.World_War_Z	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528312647l/8908._SX318_.jpg
The Pragmatic Programmer	30/3	19/4	Andy Hunt, Dave Thomas	Computer Science	Technology	Non-Fiction	Audible	-	10	2020	3/5	No	No	Yes	https://www.goodreads.com/book/show/4099.The_Pragmatic_Programmer	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401432508l/4099.jpg
Range	9/4	19/4	David Epstein	Psychology	Miscellaneous	Non-Fiction	Physical	291	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/41795733-range	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1550048292l/41795733.jpg
Dune	20/4	26/4	Frank Herbert	Science Fiction	Science Fiction	Fiction	Physical	576	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/25772375-dune	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434976394l/25772375._SY475_.jpg
