Title GSheet	Start Date	End Date	Author(s)	Display Genre	Type	Format	Pages	Hours	My Rating	Re-Read?	Book Club?	Technical?	Goodreads	Year Read	Start Month	End Month	Num Days Reading	Pages Per Day	Hours Per Day	Goodreads Rating	Full Title	Title	Subtitle	Year Published	Period Published	Num Reviews	Num Ratings	Num Five Stars	Num Four Stars	Num Three Stars	Num Two Stars	Num One Stars	Gender(s)	Num Authors	Author Gender	Rating Delta	Rating Delta Absolute	Read On Release?	1-Star Rating Percentage	5-Star Rating Percentage	Goodreads Rating Binned
The Restaurant at The End of The Universe	2019-04-22	2019-04-24	Douglas Adams	Science Fiction	Fiction	Physical	201.0		4.0	False	False	False	https://www.goodreads.com/book/show/8695.The_Restaurant_at_the_End_of_the_Universe	2019	04-2019	04-2019	3	67.0		4.21	The Restaurant at the End of the Universe	The Restaurant at the End of the Universe	The Restaurant at the End of the Universe	1980	Contemporary (20th)	8379	283861	121202	109823	44731	6634	1471	Male	1	Male	-0.20999999999999996	0.20999999999999996	False	0.518211378104072	42.69765836095836	(4.0, 4.25]
Life, The Universe and Everything	2019-04-24	2019-04-30	Douglas Adams	Science Fiction	Fiction	Physical	221.0		3.5	False	False	False	https://www.goodreads.com/book/show/8694.Life_the_Universe_and_Everything	2019	04-2019	04-2019	7	31.571428571428573		4.18	Life, the Universe and Everything	Life, the Universe and Everything	Life, the Universe and Everything	1982	Contemporary (20th)	4960	231015	99121	82662	41164	6733	1335	Male	1	Male	-0.6799999999999997	0.6799999999999997	False	0.5778845529511071	42.90673765772786	(4.0, 4.25]
Holy Sister	2019-04-30	2019-05-12	Mark Lawrence	Fantasy	Fiction	Physical	335.0		3.0	False	False	False	https://www.goodreads.com/book/show/38099642-holy-sister	2019	04-2019	05-2019	13	25.76923076923077		4.31	Holy Sister	Holy Sister	Holy Sister	2019	Contemporary (21st)	2460	27380	13436	9909	3375	543	117	Male	1	Male	-1.3099999999999996	1.3099999999999996	True	0.42731921110299487	49.072315558802046	(4.25, 4.5]
Reaching Down the Rabbit Hole	2019-05-13	2019-05-25	Allan Roper	Miscellaneous	Non-Fiction	Physical	260.0		3.0	False	False	False	https://www.goodreads.com/book/show/23460726-reaching-down-the-rabbit-hole	2019	05-2019	05-2019	13	20.0		3.98	Reaching Down the Rabbit Hole: Extraordinary Journeys into the Human Brain	Reaching Down the Rabbit Hole	Extraordinary Journeys into the Human Brain	2014	Contemporary (21st)	433	5073	1686	1999	1068	257	63	Male	1	Male	-0.98	0.98	False	1.2418687167356592	33.2347723240686	(3.75, 4.0]
Clean Code	2019-05-13	2019-06-12	Bob Martin	Technology	Non-Fiction	Physical	313.0		3.0	False	False	True	https://www.goodreads.com/book/show/3735293-clean-code	2019	05-2019	06-2019	31	10.096774193548388		4.38	Clean Code: A Handbook of Agile Software Craftsmanship	Clean Code	A Handbook of Agile Software Craftsmanship	2007	Contemporary (21st)	1314	21178	11260	7313	2137	361	107	Male	1	Male	-1.38	1.38	False	0.5052412881291907	53.16838228350175	(4.25, 4.5]
Iron Gold	2019-05-26	2019-06-06	Pierce Brown	Science Fiction	Fiction	Physical	596.0		4.0	False	False	False	https://www.goodreads.com/book/show/33257757-iron-gold	2019	05-2019	06-2019	12	49.666666666666664		4.24	Iron Gold	Iron Gold	Iron Gold	2018	Contemporary (21st)	6641	85889	37578	34040	11962	1832	477	Male	1	Male	-0.2400000000000002	0.2400000000000002	True	0.555367974944405	43.75181920851332	(4.0, 4.25]
So long.. and thanks for all the Fish	2019-06-07	2019-06-12	Douglas Adams	Science Fiction	Fiction	Physical	168.0		4.0	False	False	False	https://www.goodreads.com/book/show/6091075-so-long-and-thanks-for-all-the-fish	2019	06-2019	06-2019	6	28.0		4.09	So Long, and Thanks for All the Fish	So Long, and Thanks for All the Fish	So Long, and Thanks for All the Fish	1984	Contemporary (20th)	3913	170660	66710	61682	34355	6806	1107	Male	1	Male	-0.08999999999999986	0.08999999999999986	False	0.6486581507090121	39.08941755537326	(4.0, 4.25]
Notes from the Underground	2019-06-13	2019-06-19	Fyodor Dostoyevsky	Classics	Fiction	Physical	121.0		4.0	False	False	False	https://www.goodreads.com/book/show/49455.Notes_from_Underground	2019	06-2019	06-2019	7	17.285714285714285		4.18	Notes from Underground	Notes from Underground	Notes from Underground	1864	Late Modern	12240	153882	67455	55442	23774	5311	1900	Male	1	Male	-0.17999999999999972	0.17999999999999972	False	1.2347123120312968	43.835536320037434	(4.0, 4.25]
Countdown to Zero Day: Stuxnet	2019-06-16	2019-07-05	Kim Zetter	Technology	Non-Fiction	Audible		13.0	5.0	False	False	False	https://www.goodreads.com/book/show/18465875-countdown-to-zero-day	2019	06-2019	07-2019	20		0.65	4.16	Countdown to Zero Day: Stuxnet and the Launch of the World's First Digital Weapon	Countdown to Zero Day	Stuxnet and the Launch of the World's First Digital Weapon	2014	Contemporary (21st)	683	7077	2739	2996	1141	162	39	Female	1	Female	0.8399999999999999	0.8399999999999999	False	0.5510809665112336	38.70284018651971	(4.0, 4.25]
American Kingpin	2019-06-20	2019-07-17	Nick Bilton	True Crime	Non-Fiction	Physical	321.0		4.0	False	False	False	https://www.goodreads.com/book/show/31920777-american-kingpin	2019	06-2019	07-2019	28	11.464285714285714		4.4	American Kingpin: The Epic Hunt for the Criminal Mastermind Behind the Silk Road	American Kingpin	The Epic Hunt for the Criminal Mastermind Behind the Silk Road	2017	Contemporary (21st)	3381	42432	23576	14050	3525	785	496	Male	1	Male	-0.40000000000000036	0.40000000000000036	False	1.1689291101055808	55.56184012066365	(4.25, 4.5]
Down Under	2019-06-29	2019-07-08	Bill Bryson	Miscellaneous	Non-Fiction	Physical	422.0		4.0	False	False	False	https://www.goodreads.com/book/show/42876.Down_Under	2019	06-2019	07-2019	10	42.2		4.07	Down Under	Down Under	Down Under	2000	Contemporary (21st)	6680	110999	41050	44406	19961	3821	1761	Male	1	Male	-0.07000000000000028	0.07000000000000028	False	1.5865007792862997	36.982315155992396	(4.0, 4.25]
The Untethered Soul	2019-07-09	2019-07-31	Michael Alan Singer	Self-Improvement	Non-Fiction	Physical	201.0		4.0	False	False	False	https://www.goodreads.com/book/show/1963638.The_Untethered_Soul	2019	07-2019	07-2019	23	8.73913043478261		4.21	The Untethered Soul: The Journey Beyond Yourself	The Untethered Soul	The Journey Beyond Yourself	2007	Contemporary (21st)	7927	106432	54819	29265	14843	5121	2384	Male	1	Male	-0.20999999999999996	0.20999999999999996	False	2.2399278412507515	51.50612597714973	(4.0, 4.25]
Vietnam	2019-07-17	2019-08-25	Max Hastings	History	Non-Fiction	Audible		33.5	4.0	False	False	False	https://www.goodreads.com/book/show/36099654-vietnam	2019	07-2019	08-2019	40		0.8375	4.29	Vietnam: An Epic Tragedy, 1945-1975	Vietnam	An Epic Tragedy, 1945-1975	2018	Contemporary (21st)	580	5916	2942	2107	585	177	105	Male	1	Male	-0.29000000000000004	0.29000000000000004	True	1.7748478701825559	49.72954699121028	(4.25, 4.5]
Mostly Harmless	2019-07-18	2019-07-29	Douglas Adams	Science Fiction	Fiction	Physical	228.0		3.5	False	False	False	https://www.goodreads.com/book/show/569429.Mostly_Harmless	2019	07-2019	07-2019	12	19.0		3.96	Mostly Harmless	Mostly Harmless	Mostly Harmless	1992	Contemporary (20th)	3482	128786	44957	44676	30318	7144	1691	Male	1	Male	-0.45999999999999996	0.45999999999999996	False	1.3130309195098846	34.908297485751554	(3.75, 4.0]
I am Pilgrim	2019-08-01	2019-08-18	Terry Hayes	Novel	Fiction	Physical	888.0		3.0	False	False	False	https://www.goodreads.com/book/show/18144124-i-am-pilgrim	2019	08-2019	08-2019	18	49.333333333333336		4.29	I Am Pilgrim	I Am Pilgrim	I Am Pilgrim	2013	Contemporary (21st)	13157	166444	89855	48852	17976	5844	3917	Male	1	Male	-1.29	1.29	False	2.353344067674413	53.98512412583211	(4.25, 4.5]
