Title	Start Date	End Date	Author(s)	Genre(s)	Display Genre	Type	Format	Pages	Hours	Year Purchased	Rating	Re-Read?	Book Club?	Technical?	Goodreads	Cover
The Fall of the Ottomans	14/3	1/4	Eugene Rogan	History, Military	History	Non-Fiction	Physical	406	-	2018	4.5/5	No	No	No	https://www.goodreads.com/book/show/28230703-the-fall-of-the-ottomans	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450340982l/28230703.jpg
The Wheel of Osheim	3/4	21/4	Mark Lawrence	Fantasy	Fantasy	Fiction	Physical	642	-	2019	3.5/5	No	No	No	https://www.goodreads.com/book/show/28363825-the-wheel-of-osheim	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1486732591l/28363825._SY475_.jpg
The Restaurant at The End of The Universe	22/4	24/4	Douglas Adams	Science Fiction	Science Fiction	Fiction	Physical	201	-	2018	4/5	No	No	No	https://www.goodreads.com/book/show/8695.The_Restaurant_at_the_End_of_the_Universe	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521213881l/8695._SY475_.jpg
Life, The Universe and Everything	24/4	30/4	Douglas Adams	Science Fiction	Science Fiction	Fiction	Physical	221	-	2018	3.5/5	No	No	No	https://www.goodreads.com/book/show/8694.Life_the_Universe_and_Everything	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333577589l/8694.jpg
Holy Sister	30/4	12/5	Mark Lawrence	Fantasy	Fantasy	Fiction	Physical	335	-	2019	3/5	No	No	No	https://www.goodreads.com/book/show/38099642-holy-sister	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1530812226l/38099642._SY475_.jpg
Reaching Down the Rabbit Hole	13/5	25/5	Allan Roper	Psychology	Miscellaneous	Non-Fiction	Physical	260	-	2017	3/5	No	No	No	https://www.goodreads.com/book/show/23460726-reaching-down-the-rabbit-hole	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422116087l/23460726.jpg
Clean Code	13/5	12/6	Bob Martin	Computer Science	Technology	Non-Fiction	Physical	313	-	Borrowed	3/5	No	No	Yes	https://www.goodreads.com/book/show/3735293-clean-code	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1596157778l/6607720._SX318_.jpg
Iron Gold	26/5	6/6	Pierce Brown	Science Fiction, Fantasy	Science Fiction	Fiction	Physical	596	-	2018	4/5	No	No	No	https://www.goodreads.com/book/show/33257757-iron-gold	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482475064l/33257757.jpg
So long.. and thanks for all the Fish	7/6	12/6	Douglas Adams	Science Fiction	Science Fiction	Fiction	Physical	168	-	2019	4/5	No	No	No	https://www.goodreads.com/book/show/6091075-so-long-and-thanks-for-all-the-fish	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873354l/6091075.jpg
Notes from the Underground	13/6	19/6	Fyodor Dostoyevsky	Novella	Classics	Fiction	Physical	121	-	2019	4/5	No	No	No	https://www.goodreads.com/book/show/49455.Notes_from_Underground	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327909683l/49455.jpg
Countdown to Zero Day: Stuxnet	16/6	5/7	Kim Zetter	Technology	Technology	Non-Fiction	Audible	-	13	2019	5/5	No	No	No	https://www.goodreads.com/book/show/18465875-countdown-to-zero-day	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404960332l/18465875.jpg
American Kingpin	20/6	17/7	Nick Bilton	Technology, True Crime	True Crime	Non-Fiction	Physical	321	-	2019	4/5	No	No	No	https://www.goodreads.com/book/show/31920777-american-kingpin	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578216397l/31920777._SY475_.jpg
Down Under	29/6	8/7	Bill Bryson	Miscellaneous	Miscellaneous	Non-Fiction	Physical	422	-	2019	4/5	No	No	No	https://www.goodreads.com/book/show/42876.Down_Under	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1284187468l/42876.jpg
The Untethered Soul	9/7	31/7	Michael Alan Singer	Self-Help	Self-Improvement	Non-Fiction	Physical	201	-	2017	4/5	No	No	No	https://www.goodreads.com/book/show/1963638.The_Untethered_Soul	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354898395l/1963638.jpg
Vietnam	17/7	25/8	Max Hastings	History, Military	History	Non-Fiction	Audible	-	33.5	2019	4/5	No	No	No	https://www.goodreads.com/book/show/36099654-vietnam	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1508784853l/36099654.jpg
Mostly Harmless	18/7	29/7	Douglas Adams	Science Fiction	Science Fiction	Fiction	Physical	228	-	2019	3.5/5	No	No	No	https://www.goodreads.com/book/show/569429.Mostly_Harmless	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397933521l/569429.jpg
I am Pilgrim	1/8	18/8	Terry Hayes	Miscellaenous	Novel	Fiction	Physical	888	-	2019	3/5	No	No	No	https://www.goodreads.com/book/show/18144124-i-am-pilgrim	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403345411l/18144124.jpg
The Age of Revolution	19/8	29/8	Eric Hobsbawn	History, Politics	History	Non-Fiction	Physical	305	-	2018	3/5	No	No	No	https://www.goodreads.com/book/show/550840.The_Age_of_Revolution_1789_1848	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1401886118l/550840.jpg
Line in the Sand	26/8	9/9	James Barr	History, Politics	History	Non-Fiction	Audible	-	15	2019	3/5	No	No	No	https://www.goodreads.com/book/show/12121296-a-line-in-the-sand	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348209170l/12121296.jpg
Lords of Finance	31/8	9/9	Liaqat Ahamed	History, Economics	History	Non-Fiction	Physical	507	-	2018	5/5	No	No	No	https://www.goodreads.com/book/show/7132211-lords-of-finance	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415584325l/7132211.jpg
Prisoners of Geography	10/9	16/9	Tim Marshall	History	History	Non-Fiction	Audible	-	10.5	2019	4/5	No	No	No	https://www.goodreads.com/book/show/25135194-prisoners-of-geography	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432827094l/25135194._SY475_.jpg
The New Tsar	12/9	25/9	Steven Lee Myers	Biography, Politics	Biography	Non-Fiction	Physical	481	-	2017	4/5	Yes	No	No	https://www.goodreads.com/book/show/29922989-the-new-tsar	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460750841l/29922989._SY475_.jpg
The Complete Guide To Property Investment	17/9	21/9	Rob Dix	Finance	Business	Non-Fiction	Audible	-	6	2019	4/5	No	No	No	https://www.goodreads.com/book/show/28628271-the-complete-guide-to-property-investment	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453254541l/28628271._SY475_.jpg
The Silk Roads	22/9	25/10	Peter Frankopan	History	History	Non-Fiction	Audible	-	24	2019	4.5/5	No	No	No	https://www.goodreads.com/book/show/25812847-the-silk-roads	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472636067l/25812847._SY475_.jpg
Dark Age	25/9	8/10	Pierce Brown	Science Fiction, Fantasy	Science Fiction	Fiction	Kindle	939	-	2019	5/5	No	No	No	https://www.goodreads.com/book/show/29226553-dark-age	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525464420l/29226553._SY475_.jpg
The Choice	8/10	14/10	Edith Eva Eger	Biography, Psychology	Biography	Non-Fiction	Kindle	304	-	2019	3/5	No	No	No	https://www.goodreads.com/book/show/36203368-the-choice	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1525466585l/36203368._SY475_.jpg
The Son	16/10	21/10	Phillip Meyer	Novel	Novel	Fiction	Physical	561	-	Borrowed	4/5	No	No	No	https://www.goodreads.com/book/show/18948016-the-son	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385401212l/18948016.jpg
The Dark Side of the Mind	21/10	24/10	Kerry Daynes	Psychology	Miscellaneous	Non-Fiction	Kindle	222	-	2019	2.5/5	No	No	No	https://www.goodreads.com/book/show/44532840-the-dark-side-of-the-mind	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1552997878l/44532840._SY475_.jpg
The Accursed Tower	25/10	30/10	Roger Crowley	History, Military	History	Non-Fiction	Kindle	272	-	2019	4/5	No	No	No	https://www.goodreads.com/book/show/50789231-accursed-tower	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1560950825l/50789231._SX318_SY475_.jpg
The Storm Before the Storm	26/10	6/11	Mike Duncan	History, Military	History	Non-Fiction	Audible	-	10	Borrowed	4/5	No	No	No	https://www.goodreads.com/book/show/34184069-the-storm-before-the-storm	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1492585818l/34184069.jpg
Down and Out in Paris and London	31/10	31/10	George Orwell	Novella	Classics	Fiction	Physical	216	-	Borrowed	4/5	No	No	No	https://www.goodreads.com/book/show/18755313-down-and-out-in-paris-and-london	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383683783l/18755313.jpg
Hyperion	31/10	8/11	Dan Simmons	Science Fiction	Science Fiction	Fiction	Kindle	482	-	2019	3.5/5	No	No	No	https://www.goodreads.com/book/show/77566.Hyperion	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405546838l/77566.jpg
The Looming Tower	8/11	17/11	Lawrence Wright	History, True Crime	True Crime	Non-Fiction	Audible	-	16.5	2019	4.5/5	No	No	No	https://www.goodreads.com/book/show/110890.The_Looming_Tower	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320471617l/110890.jpg
Alexander of Macedon	8/11	19/11	Peter Green	History, Biography, Military	Biography	Non-Fiction	Physical	488	-	2018	4.5/5	No	No	No	https://www.goodreads.com/book/show/16145176-alexander-of-macedon-356-323-b-c	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352964973l/16145176.jpg
The Phoenix Project	19/11	29/11	Gene Kim	Technology	Technology	Fiction	Audible	-	13	2019	4/5	No	No	No	https://www.goodreads.com/book/show/17255186-the-phoenix-project	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361113128l/17255186.jpg
Pinpoint	19/11	24/11	Greg Milner	Technology	Technology	Non-Fiction	Physical	266	-	2019	3.5/5	No	No	No	https://www.goodreads.com/book/show/30631304-pinpoint	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466071417l/30631304._SY475_.jpg
The Curious Incident of the Dog..	24/11	28/11	Mark Haddon	Novel	Novel	Fiction	Physical	270	-	Borrowed	3.5/5	No	No	No	https://www.goodreads.com/book/show/3437.The_Curious_Incident_of_the_Dog_in_the_Night_Time	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1385361819l/3437.jpg
The Silent Patient	2/12	6/12	Alex Michaelides	Novel	Novel	Fiction	Physical	337	-	Borrowed	3.5/5	No	No	No	https://www.goodreads.com/book/show/41601079-the-silent-patient	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535919875l/41601079._SY475_.jpg
The Priory of the Orange Tree	8/12	22/12	Samantha Shannon	Fantasy	Fantasy	Fiction	Kindle	804	-	2019	2.5/5	No	No	No	https://www.goodreads.com/book/show/40275288-the-priory-of-the-orange-tree	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1527807139l/40275288._SY475_.jpg
Bad Blood	11/12	17/12	John Carreyrou	Technology, True Crime	True Crime	Non-Fiction	Audible	-	11.5	2019	4.5/5	No	No	No	https://www.goodreads.com/book/show/41304176-bad-blood	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1563822235l/41304176._SY475_.jpg
War Beneath the Sea	23/12	29/12	Peter Padfield	History, Military	History	Non-Fiction	Kindle	540	-	2019	4/5	No	No	No	https://www.goodreads.com/book/show/19165777-war-beneath-the-sea	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431709529l/19165777._SY475_.jpg
Animal Farm	30/12	31/12	George Orwell	Novella	Classics	Fiction	Physical	112	-	2019	3.5/5	No	No	No	https://www.goodreads.com/book/show/3149348-animal-farm	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1299097929l/3149348.jpg
