Title	Start Date	End Date	Author(s)	Genre(s)	Display Genre	Type	Format	Pages	Hours	Year Purchased	Rating	Re-Read?	Book Club?	Technical?	Goodreads	Cover
Prince of Fools	1/1	7/1	Mark Lawrence	Fantasy	Fantasy	Fiction	Physical	502	-	2018	3.5/5	No	No	No	https://www.goodreads.com/book/show/25262299-prince-of-fools	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427891133l/25262299.jpg
Designing Data-Intensive Applications	4/1	10/5	Martin Kleppmann	Computer Science	Technology	Non-Fiction	Physical	546	-	2018	5/5	No	No	Yes	https://www.goodreads.com/book/show/23463279-designing-data-intensive-applications	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415816873l/23463279.jpg
Scar Tissue	9/1	18/1	Anthony Kiedis	Biography	Biography	Non-Fiction	Physical	465	-	2018	3.5/5	No	No	No	https://goodreads.com/book/show/4303.Scar_Tissue	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348382097l/4303.jpg
The Gallic Wars	19/1	27/1	Julius Caesar	History, Military	History	Non-Fiction	Physical	260	-	2018	4/5	No	No	No	https://goodreads.com/book/show/37807.Caesar_s_Commentaries	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391551936l/37807.jpg
Fire and Fury	28/1	6/2	Michael Wolff	Politics	Politics	Non-Fiction	Physical	336	-	2019	3.5/5	No	No	No	https://www.goodreads.com/book/show/36595101-fire-and-fury	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1514994130l/36595101.jpg
Brave New World	7/2	11/2	Aldous Huxley	Science Fiction	Science Fiction	Fiction	Physical	250	-	2019	3/5	No	No	No	https://www.goodreads.com/book/show/3180338-brave-new-world	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551151249l/3180338._SY475_.jpg
This is going to Hurt	11/2	14/2	Adam Kay	Miscellaneous	Miscellaneous	Non-Fiction	Physical	288	-	Borrowed	5/5	No	No	No	https://www.goodreads.com/book/show/43562724-this-is-going-to-hurt	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547482716l/43562724._SY475_.jpg
The Liar's Key	15/2	27/2	Mark Lawrence	Fantasy	Fantasy	Fiction	Physical	653	-	2019	4/5	No	No	No	https://www.goodreads.com/book/show/25772187-the-liar-s-key	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434973444l/25772187._SY475_.jpg
Sniper on the Eastern Front	4/3	7/3	Albrect Wacker	History, Military	History	Non-Fiction	Physical	179	-	2017	2.5/5	No	No	No	https://www.goodreads.com/book/show/15901600-sniper-on-the-eastern-front	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387653133l/15901600.jpg
The Crusades through Arab Eyes	9/3	13/3	Amin Maalouf	History, Military	History	Non-Fiction	Physical	266	-	2018	4.5/5	No	No	No	https://www.goodreads.com/book/show/19226403-the-crusades-through-arab-eyes	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386306041l/19226403.jpg
