Title	Start Date	End Date	Author(s)	Genre(s)	Display Genre	Type	Format	Pages	Hours	Year Purchased	Rating	Re-Read?	Book Club?	Technical?	Goodreads	Cover
The Daily Stoic	1/3	31/12	Ryan Holiday	Philosophy	Philosophy	Non-Fiction	Physical	366	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/29093292-the-daily-stoic	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1518781561l/38597128._SY475_.jpg
Heroes	1/3	18/3	Stephen Fry	Misc 	Fantasy	Fiction	Audible	-	15	2020	4/5	No	No	No	https://www.goodreads.com/book/show/41433634-heroes	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536766389l/41433634._SY475_.jpg
The Magic of thinking Big	11/3	17/3	David J. Schwartz	Self-Help, Psychology	Self-Improvement	Non-Fiction	Physical	355	-	2021	4.5/5	No	No	No	https://www.goodreads.com/book/show/759945.The_Magic_of_Thinking_Big	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404632064l/759945.jpg
21 Lessons for the 21st Century	18/3	31/3	Yuval Noah Harari	History, Philosophy	History	Non-Fiction	Physical	370	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/38820046-21-lessons-for-the-21st-century	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1564577305l/38820046._SY475_.jpg
How to Avoid a Climate Disaster	23/3	7/4	Bill Gates	Science, Politics	Science	Non-Fiction	Audible	-	7	2021	3.5/5	No	No	No	https://www.goodreads.com/book/show/52275335-how-to-avoid-a-climate-disaster	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1609355352l/52275335._SY475_.jpg
The Bitcoin Standard	31/3	4/4	Saifedean Ammous	Technology, Economics	Technology	Non-Fiction	Physical	305	-	2021	4.5/5	No	No	No	https://www.goodreads.com/book/show/36448501-the-bitcoin-standard	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1522006202l/39506195._SY475_.jpg
The Book Thief	5/4	10/4	Markus Zusak	Novel	Novel	Fiction	Kindle	584	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/893136.The_Book_Thief	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327867270l/893136._SY475_.jpg
Zero to One	10/4	12/4	Blake Masters, Peter Thiel	Business, Technology	Business	Non-Fiction	Physical	195	-	2021	5/5	No	No	No	https://www.goodreads.com/book/show/18050143-zero-to-one	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414347376l/18050143.jpg
The Double Helix	12/4	13/4	James Watson	Science, History	Science	Non-Fiction	Physical	174	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/8714776-the-double-helix	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351940838l/8714776.jpg
Hands on Machine Learning	13/4	15/8	Aurelien Geron	Computer Science, Technology	Technology	Non-Fiction	Physical	547	-	2021	4.5/5	No	No	Yes	https://www.goodreads.com/book/show/40363665-hands-on-machine-learning-with-scikit-learn-keras-and-tensorflow	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1571123692l/40363665.jpg
The Gulag Archipeligo (abridged)	14/4	3/5	Aleksandr Solzhenitsyn	History	History	Non-Fiction	Physical	470	-	2021	4.5/5	No	No	No	https://www.goodreads.com/book/show/682803.The_Gulag_Archipelago_1918_1956	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347431378l/682803.jpg
Six Easy Pieces	3/5	7/5	Richard Feynman	Science	Science	Non-Fiction	Physical	157	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/5553.Six_Easy_Pieces	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400827293l/5553.jpg
Can't Hurt Me	3/5	18/5	David Goggins	Self-Help, Biography	Self-Improvement	Non-Fiction	Audible	-	13.5	2020	4.5/5	No	No	No	https://www.goodreads.com/book/show/41721428-can-t-hurt-me	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1536184191l/41721428._SY475_.jpg
The Prince	8/5	15/5	Niccolò Machiavelli	Politics	Politics	Non-Fiction	Physical	200	-	2021	3.5/5	No	No	No	https://www.goodreads.com/book/show/480329.The_Prince	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410229777l/480329.jpg
The History of Philosophy	17/5	21/6	A.C. Grayling	Philosophy, History	History	Non-Fiction	Physical	605	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/49095676-the-history-of-philosophy	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588017495l/49095676._SY475_.jpg
The Hollow Crown	21/5	14/6	Dan Jones	History	History	Non-Fiction	Audible	-	13.5	2021	4/5	No	No	No	https://www.goodreads.com/book/show/21062298-the-hollow-crown	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403831906l/21062298.jpg
The Black Swan	21/6	27/6	Nassim Nicholas Taleb	Economics, Science	Science	Non-Fiction	Physical	350	-	2021	4.5/5	No	No	No	https://www.goodreads.com/book/show/2962025-the-black-swan	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436042482l/2962025._SY475_.jpg
Essentialism	21/6	12/7	Greg McKeown	Self-Help, Philosophy	Self-Improvement	Non-Fiction	Audible	-	6	2021	3.5/5	No	No	No	https://www.goodreads.com/book/show/18077875-essentialism	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403165375l/18077875.jpg
The Shadow of the Gods	28/6	3/7	John Gwynne	Fantasy	Fantasy	Fiction	Physical	478	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/52694527-the-shadow-of-the-gods	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1610375894l/52694527._SY475_.jpg
The World for Sale	4/7	10/7	Javier Blas, Jack Farchy	Economics, History	Business	Non-Fiction	Physical	330	-	2021	4.5/5	No	No	No	https://www.goodreads.com/book/show/52199304-the-world-for-sale	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1616664353l/52199304._SY475_.jpg
Neuromancer	11/7	18/7	William Gibson	Science Fiction	Science Fiction	Fiction	Physical	290	-	Borrowed	2.5/5	No	No	No	https://www.goodreads.com/book/show/6088007-neuromancer	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554437249l/6088007._SY475_.jpg
A Spy Among Friends	12/7	22/7	Ben Macintyre	History, Biography	History	Non-Fiction	Audible	-	12.5	2021	4.5/5	No	No	No	https://www.goodreads.com/book/show/25309984-a-spy-among-friends	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437407242l/25309984._SY475_.jpg
Letters from a Stoic	18/7	29/8	Seneca	Philosophy	Philosophy	Non-Fiction	Physical	231	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/97411.Letters_from_a_Stoic	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1421619214l/97411.jpg
The Tartar Steppe	18/7	3/8	Dino Buzzati	Novel, Classics	Novel	Fiction	Physical	414	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/42304903-the-tartar-steppe	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1539560801l/42304903._SY475_.jpg
Don't Sleep, there are Snakes	3/8	11/8	Daniel Everett	Anthropology	Science	Non-Fiction	Physical	279	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/6707520-don-t-sleep-there-are-snakes	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347334994l/6707520.jpg
Dear Reader: The Unauthorized Autobiography of Kim Jong Il	11/8	18/8	Michael Malice	History, Biography	Biography	Non-Fiction	Physical	415	-	2021	3.5/5	No	No	No	https://www.goodreads.com/book/show/20652901-dear-reader	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391028830l/20652901.jpg
Stalin: The Court of the Red Tsar	14/8	5/9	Simon Sebag Montefiore	History, Biography	Biography	Non-Fiction	Audible	-	27.5	2021	4.5/5	No	No	No	https://www.goodreads.com/book/show/43843798-stalin	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549428812l/43843798._SY475_.jpg
97 Things Every Data Engineer Should Know	16/8	4/9	Tobias Macey	Computer Science, Technology	Technology	Non-Fiction	Physical	208	-	2021	2.5/5	No	No	Yes	https://www.goodreads.com/book/show/56916802-97-things-every-data-engineer-should-know	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1623668932l/56916802.jpg
Kaffir Boy	19/8	23/8	Mark Mathabane	Biography	Biography	Non-Fiction	Physical	350	-	2021	4.5/5	No	No	No	https://www.goodreads.com/book/show/126151.Kaffir_Boy	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442887234l/126151._SY475_.jpg
Guns, Germs and Steel	23/8	2/9	Jared Diamond	History, Anthropology	History	Non-Fiction	Physical	564	-	2021	5/5	No	No	No	https://www.goodreads.com/book/show/1842.Guns_Germs_and_Steel	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1453215833l/1842._SY475_.jpg
Hamlet	4/9	7/9	William Shakespeare	Classics	Classics	Fiction	Physical	165	-	2021	3/5	No	No	No	https://www.goodreads.com/book/show/57637732-hamlet-by-william-shakespeare	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1617650678l/57637732._SY475_.jpg
Sapiens	4/9	14/9	Yuval Noah Harari	History, Anthropology	History	Non-Fiction	Physical	466	-	2021	5/5	Yes	No	No	https://www.goodreads.com/book/show/23692271-sapiens	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1595674533l/23692271._SY475_.jpg
Why We Sleep	9/9	20/9	Matthew Walker	Science	Science	Non-Fiction	Audible	-	13.5	2021	3.5/5	No	No	No	https://www.goodreads.com/book/show/34466963-why-we-sleep	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556604137l/34466963._SY475_.jpg
On the Shortness of Life	10/9	15/9	Seneca	Philosophy	Philosophy	Non-Fiction	Physical	31	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/33607457-on-the-shortness-of-life	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482795602l/33607457._SY475_.jpg
Collapse: How Societies Choose to Fail or Survive	14/9	29/9	Jared Diamond	History, Anthropology	History	Non-Fiction	Physical	539	-	2021	3.5/5	No	No	No	https://www.goodreads.com/book/show/50791976-collapse	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580549448l/50791976._SY475_.jpg
The Politics	15/9	10/10	Aristotle	Philosophy, Politics	Philosophy	Non-Fiction	Physical	476	-	2021	3/5	No	No	No	https://www.goodreads.com/book/show/9570276-the-politics	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360696245l/9570276.jpg
Empire of Pain	21/9	30/9	Patrick Radden Keefe	True Crime, History	True Crime	Non-Fiction	Audible	-	18	2021	5/5	No	No	No	https://www.goodreads.com/book/show/57861006-empire-of-pain	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1619445832l/57861006._SY475_.jpg
Alex's Adventures in Numberland	29/9	3/10	Alex Belos	Science, Mathematics	Science	Non-Fiction	Physical	407	-	2021	4.5/5	No	No	No	https://www.goodreads.com/book/show/53774916-alex-s-adventures-in-numberland	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1591115485l/53774916._SY475_.jpg
Barking up the Wrong Tree	4/10	15/10	Eric Barker	Psychology, Self-Improvement	Self-Improvement	Non-Fiction	Physical	266	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/31706504-barking-up-the-wrong-tree	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489173753l/31706504._SY475_.jpg
Utopia for Realists	11/10	21/10	Rutger Bregman	Politics, Economics	Politics	Non-Fiction	Audible	-	6.5	2021	3.5/5	No	No	No	https://www.goodreads.com/book/show/40876575-utopia-for-realists	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483233945l/33652563._SY475_.jpg
A History of South Africa	15/10	30/10	Leonard Thompson	History	History	Non-Fiction	Physical	356	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/234503.A_History_of_South_Africa	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388340761l/234503.jpg
The Software Architect Elevator	20/10	29/12	Gregor Hohpe	Computer Science, Technology	Technology	Non-Fiction	Physical	351	-	2021	4.5/5	No	No	Yes	https://www.goodreads.com/en/book/show/49828197-the-software-architect-elevator	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1585196491l/49828197.jpg
The Hard Thing About Hard Things	30/10	12/11	Ben Horowitz	Business	Business	Non-Fiction	Physical	278	-	2021	3.5/5	No	No	No	https://www.goodreads.com/book/show/18176747-the-hard-thing-about-hard-things	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386609333l/18176747.jpg
A Little Life	13/11	28/11	Hanya Yanagihara	Novel	Novel	Fiction	Physical	720	-	2021	4.5/5	No	No	No	https://www.goodreads.com/book/show/29408433-a-little-life	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456994166l/29408433._SY475_.jpg
The Dhando Investor	13/11	30/11	Mohnish Pabrai	Finance, Business	Business	Non-Fiction	Audible	-	5	2021	4/5	No	No	No	https://www.goodreads.com/book/show/500514.The_Dhandho_Investor	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348072996l/500514.jpg
Infinite Jest	29/11	31/12	David Foster Wallace	Novel	Novel	Fiction	Physical	981	-	Free	4/5	No	No	No	https://www.goodreads.com/book/show/6759.Infinite_Jest	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327248482l/2457487.jpg
The Emperor of all Maladies	10/12	31/12	Siddhartha Mukherjee	Science	Science	Non-Fiction	Audible	-	22	2021	3.5/5	No	No	No	https://www.goodreads.com/book/show/7170627-the-emperor-of-all-maladies	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1528475465l/10632190.jpg
