Title	Start Date	End Date	Author(s)	Genre(s)	Display Genre	Type	Format	Pages	Hours	Year Purchased	Rating	Re-Read?	Book Club?	Technical?	Goodreads	Cover
The Templars	2/1	18/1	Dan Jones	History	History	Non-Fiction	Audible	-	15.5	2020	4/5	No	No	No	https://www.goodreads.com/book/show/34312336-the-templars	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1487152697l/34312336.jpg
River Out of Eden	3/1	7/1	Richard Dawkins	Science	Science	Non-Fiction	Physical	187	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/32275.River_Out_of_Eden	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1302198301l/32275.jpg
Modern Man in Search of a Soul	7/1	14/1	Carl Jung	Psychology, Philosophy	Philosophy	Non-Fiction	Physical	282	-	2020	3/5	No	No	No	https://www.goodreads.com/book/show/646175.Modern_Man_in_Search_of_a_Soul	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327582271l/646175.jpg
Dark Matter	14/1	16/1	Blake Crouch	Science Fiction	Science Fiction	Fiction	Physical	398	-	2020	4.5/5	No	No	No	https://www.goodreads.com/book/show/27833670-dark-matter	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472119680l/27833670._SY475_.jpg
The Denial of Death	17/1	27/1	Ernest Becker	Psychology, Philosophy	Philosophy	Non-Fiction	Physical	295	-	2020	4/5	No	No	No	https://www.goodreads.com/book/show/2761.The_Denial_of_Death	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388432490l/2761.jpg
Steve Jobs	23/1	18/2	Walter Isaacson	Biography, History 	Biography	Non-Fiction	Audible	-	25	2020	4/5	No	No	No	https://www.goodreads.com/book/show/11084145-steve-jobs	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511288482l/11084145._SY475_.jpg
Man's Search for Meaning	28/1	31/1	Viktor E. Frankl	Psychology, Philosophy	Philosophy	Non-Fiction	Physical	154	-	2020	3.5/5	No	No	No	https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1535419394l/4069._SY475_.jpg
Gödel, Escher, Bach: an Eternal Golden Braid	1/2	11/3	Douglas R. Hofstadter	Science, Philosophy	Science	Non-Fiction	Physical	742	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/24113.G_del_Escher_Bach	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547125681l/24113._SY475_.jpg
Recursion	12/2	18/2	Blake Crouch	Science Fiction, Mystery	Science Fiction	Fiction	Kindle	336	-	2021	3/5	No	No	No	https://www.goodreads.com/book/show/42046112-recursion	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1543687940l/42046112.jpg
The Road to Wigan Pier	19/2	26/2	George Orwell	Novella, Biography	Classics	Fiction	Physical	234	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/30553.The_Road_to_Wigan_Pier	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1414451091l/30553.jpg
