Title	Start Date	End Date	Author(s)	Genre(s)	Display Genre	Type	Format	Pages	Hours	Year Purchased	Rating	Re-Read?	Book Club?	Technical?	Goodreads	Cover
The Alloy of Law	10/10	16/10	Brandon Sanderson	Fantasy	Fantasy	Fiction	Physical	332	-	2022	4/5	No	No	No	https://www.goodreads.com/book/show/10803710-the-alloy-of-law	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327951307l/10803710.jpg
Shadows of Self	25/10	7/11	Brandon Sanderson	Fantasy	Fantasy	Fiction	Physical	376	-	2022	3/5	No	No	No	https://www.goodreads.com/book/show/22887640-shadows-of-self	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1434614108l/22887640.jpg
The Selfish Gene	8/11	14/11	Richard Dawkins	Science	Science	Non-Fiction	Physical	381	-	2022	5/5	No	No	No	https://www.goodreads.com/book/show/29807115-the-selfish-gene	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1463949436i/29807115.jpg
The Autobiography of Malcolm X	9/11	17/11	Malcolm X, Alex Haley	Biography	Biography	Non-Fiction	Audible	-	16.5	2022	4/5	No	No	No	https://www.goodreads.com/book/show/92057.The_Autobiography_of_Malcolm_X	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1434682864i/92057.jpg
The Gate To China	14/11	7/12	Michael Sheridan	History	History	Non-Fiction	Physical	405	-	2022	4.5/5	No	No	No	https://www.goodreads.com/en/book/show/59072388-the-gate-to-china	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1632563220l/59072388._SY475_.jpg
To Kill a Mockingbird	9/12	13/12	Harper Lee	Novel	Novel	Fiction	Physical	307	-	Borrowed	4.5/5	Yes	No	No	https://www.goodreads.com/book/show/816815.To_Kill_a_Mockingbird	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1349070358l/816815.jpg
Troy	10/12	30/12	Stephen Fry	Misc	Fantasy	Fiction	Audible	-	11	2022	3/5	No	No	No	https://www.goodreads.com/book/show/53443339-troy	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1589888687l/53443339._SY475_.jpg
The Bands of Mourning	14/12	22/12	Brandon Sanderson	Fantasy	Fantasy	Fiction	Physical	437	-	2022	3/5	No	No	No	https://www.goodreads.com/book/show/26541448-the-bands-of-mourning	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1458802426l/26541448.jpg
The Shortest History of Germany	23/12	26/12	James Hawes	History	History	Non-Fiction	Physical	230	-	2022	4/5	No	No	No	https://www.goodreads.com/book/show/34757960-the-shortest-history-of-germany	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1491172765l/34757960._SY475_.jpg
Daring Greatly	27/12	31/12	Brené Brown	Self-Improvement, Psychology 	Self-Improvement	Non-Fiction	Audible	-	6.5	2022	3.5/5	No	No	No	https://www.goodreads.com/book/show/17279589-daring-greatly	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337110319l/13588356.jpg
Exhalation	29/12	31/12	Ted Chiang	Science Fiction, Short Stories	Science Fiction	Fiction	Physical	340	-	2022	4/5	No	No	No	https://www.goodreads.com/book/show/41160292-exhalation	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1534388394l/41160292._SX318_.jpg
